"","Winter","Mean","Median","Standard deviation","N"
"180","2019-2020",0.076,0.009,0.117,8
"181","2019-2020",0.076,0.009,0.117,8
"182","2019-2020",0.076,0.009,0.117,8
"183","2019-2020",0.076,0.009,0.117,8
"184","2019-2020",0.076,0.009,0.117,8
"185","2019-2020",0.076,0.009,0.117,8
"186","2019-2020",0.076,0.009,0.117,8
"187","2019-2020",0.076,0.009,0.117,8
"188","2015-2016",0.136,0,0.218,18
"189","2015-2016",0.136,0,0.218,18
"190","2015-2016",0.136,0,0.218,18
"191","2015-2016",0.136,0,0.218,18
"192","2015-2016",0.136,0,0.218,18
"193","2015-2016",0.136,0,0.218,18
"194","2015-2016",0.136,0,0.218,18
"195","2015-2016",0.136,0,0.218,18
"196","2015-2016",0.136,0,0.218,18
"197","2015-2016",0.136,0,0.218,18
"198","2015-2016",0.136,0,0.218,18
"199","2015-2016",0.136,0,0.218,18
"200","2015-2016",0.136,0,0.218,18
"201","2015-2016",0.136,0,0.218,18
"202","2015-2016",0.136,0,0.218,18
"203","2015-2016",0.136,0,0.218,18
"204","2015-2016",0.136,0,0.218,18
"205","2015-2016",0.136,0,0.218,18
"206","2015-2016",0.136,0,0.218,18
"207","2015-2016",0.136,0,0.218,18
"208","2015-2016",0.136,0,0.218,18
"209","2015-2016",0.136,0,0.218,18
"210","2015-2016",0.136,0,0.218,18
"211","2015-2016",0.136,0,0.218,18
"212","2015-2016",0.136,0,0.218,18
"213","2015-2016",0.136,0,0.218,18
"214","2015-2016",0.136,0,0.218,18
"215","2015-2016",0.136,0,0.218,18
"216","2015-2016",0.136,0,0.218,18
"217","2015-2016",0.136,0,0.218,18
"218","2015-2016",0.136,0,0.218,18
"219","2015-2016",0.136,0,0.218,18
"220","2015-2016",0.136,0,0.218,18
"221","2015-2016",0.136,0,0.218,18
"222","2015-2016",0.136,0,0.218,18
"223","2015-2016",0.136,0,0.218,18
"224","2015-2016",0.136,0,0.218,18
"225","2015-2016",0.136,0,0.218,18
"226","2015-2016",0.136,0,0.218,18
"227","2015-2016",0.136,0,0.218,18
"228","2015-2016",0.136,0,0.218,18
"229","2015-2016",0.136,0,0.218,18
"230","2015-2016",0.136,0,0.218,18
